City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,Provideniya,64.38,-173.3,44.6,75,21,8.95,RU,2020-06-23 20:08:19
92,Ribeira Grande,38.52,-28.7,66.2,63,40,16.11,PT,2020-06-23 20:08:19
93,Saint-Joseph,-21.37,55.62,68.0,77,20,8.05,RE,2020-06-23 20:08:19
94,Husavik,66.04,-17.34,57.2,58,75,14.99,IS,2020-06-23 20:08:19
95,Kamaishi,39.27,141.88,62.92,86,70,7.52,JP,2020-06-23 20:08:20
96,Lompoc,34.64,-120.46,72.0,64,100,10.29,US,2020-06-23 20:08:20
97,Cherskiy,68.75,161.3,47.53,54,83,7.7,RU,2020-06-23 20:08:20
98,Beisfjord,68.38,17.6,60.8,77,94,4.7,NO,2020-06-23 20:08:20
99,Tuktoyaktuk,69.45,-133.04,37.4,93,90,19.46,CA,2020-06-23 20:08:20
100,Saint-Philippe,-21.36,55.77,68.0,77,20,8.05,RE,2020-06-23 20:08:20
101,Yeppoon,-23.13,150.73,42.8,87,0,5.46,AU,2020-06-23 20:08:20
102,Mongo,12.18,18.69,92.68,25,71,1.5,TD,2020-06-23 20:08:20
103,Nanortalik,60.14,-45.24,42.78,76,70,8.61,GL,2020-06-23 20:08:20
104,Strezhevoy,60.73,77.59,46.4,93,72,4.25,RU,2020-06-23 20:08:20
105,Talnakh,69.49,88.4,51.8,81,0,8.95,RU,2020-06-23 20:08:21
106,Chuy,-33.7,-53.46,69.26,82,90,7.65,UY,2020-06-23 20:08:21
107,Gonzalez,30.58,-87.29,84.99,88,20,3.36,US,2020-06-23 20:08:21
108,Nikolskoye,59.7,30.79,66.2,55,0,6.71,RU,2020-06-23 20:08:21
109,Bengkulu,-3.8,102.27,74.55,92,100,4.38,ID,2020-06-23 20:08:21
110,Yerbogachen,61.28,108.01,53.44,83,0,4.97,RU,2020-06-23 20:08:21
111,Chokurdakh,70.63,147.92,65.41,30,89,7.29,RU,2020-06-23 20:08:21
112,Bambous Virieux,-20.34,57.76,71.6,83,40,5.82,MU,2020-06-23 20:08:21
113,Kamenka,51.32,42.77,68.0,48,58,5.01,RU,2020-06-23 20:08:21
114,College,64.86,-147.8,50.0,100,90,5.82,US,2020-06-23 20:03:56
115,Biltine,14.53,20.92,89.1,11,0,7.87,TD,2020-06-23 20:08:21
116,Mar Del Plata,-38.0,-57.56,57.2,71,20,8.05,AR,2020-06-23 20:04:16
117,Arraial Do Cabo,-22.97,-42.03,77.0,61,20,11.41,BR,2020-06-23 20:08:22
118,Cape Town,-33.93,18.42,57.2,87,0,9.17,ZA,2020-06-23 20:03:54
119,Pervomayskoye,43.92,46.71,72.75,62,77,14.34,RU,2020-06-23 20:08:22
120,Kupang,-10.17,123.58,73.26,76,0,10.42,ID,2020-06-23 20:08:22
121,Mundo Nuevo,18.7,-95.5,85.64,72,99,8.37,MX,2020-06-23 20:08:22
122,Ponta Do Sol,32.67,-17.1,71.6,68,40,11.41,PT,2020-06-23 20:08:22
123,Banda Aceh,5.56,95.32,79.36,76,96,5.17,ID,2020-06-23 20:08:22
124,Saskylakh,71.92,114.08,75.9,41,39,6.55,RU,2020-06-23 20:08:22
125,Khandyga,62.67,135.6,60.91,83,57,5.03,RU,2020-06-23 20:08:22
126,Pisco,-13.7,-76.22,64.99,82,75,10.29,PE,2020-06-23 20:08:22
127,Kokkola,63.84,23.13,66.2,48,51,4.7,FI,2020-06-23 20:08:23
128,Bukan,36.52,46.21,64.65,46,0,0.83,IR,2020-06-23 20:08:23
129,Mahebourg,-20.41,57.7,71.6,83,40,5.82,MU,2020-06-23 20:08:23
130,Jalu,29.03,21.55,79.25,37,0,15.12,LY,2020-06-23 20:08:23
131,Kieta,-6.22,155.63,80.28,73,31,3.76,PG,2020-06-23 20:08:23
132,Esperance,-33.87,121.9,50.0,87,0,13.87,AU,2020-06-23 20:08:23
133,Sabinopolis,-18.67,-43.08,64.17,72,92,3.67,BR,2020-06-23 20:08:23
134,Xacmaz,41.46,48.81,72.01,46,0,2.13,AZ,2020-06-23 20:08:23
135,Sao Filipe,14.9,-24.5,81.34,57,0,17.96,CV,2020-06-23 20:08:23
136,Rudnogorsk,57.26,103.75,55.99,77,4,3.98,RU,2020-06-23 20:08:23
137,Karpathos,35.51,27.21,71.6,78,0,8.05,GR,2020-06-23 20:08:23
138,Shimanovsk,52.0,127.7,53.73,88,100,4.59,RU,2020-06-23 20:08:23
139,Carnarvon,-24.87,113.63,57.2,93,0,8.05,AU,2020-06-23 20:08:23
140,Porto Novo,6.5,2.6,80.6,88,40,11.41,BJ,2020-06-23 20:08:24
141,Rapid Valley,44.06,-103.15,79.0,33,1,12.75,US,2020-06-23 20:08:24
142,Port Elizabeth,-33.92,25.57,50.0,81,0,4.7,ZA,2020-06-23 20:08:24
143,Bredasdorp,-34.53,20.04,50.0,93,27,3.22,ZA,2020-06-23 20:08:24
144,Maromitsa,59.87,48.01,47.91,96,0,6.6,RU,2020-06-23 20:08:24
145,Kayunga,0.7,32.89,67.23,80,64,1.36,UG,2020-06-23 20:08:24
146,Thompson,55.74,-97.86,78.8,31,40,4.7,CA,2020-06-23 20:08:24
147,Longyearbyen,78.22,15.64,44.6,75,91,5.82,SJ,2020-06-23 20:08:24
148,Abha,18.22,42.51,77.0,16,100,10.29,SA,2020-06-23 20:08:25
149,Iqaluit,63.75,-68.51,41.0,93,90,13.87,CA,2020-06-23 20:08:25
150,Anderson,34.53,-82.65,78.01,88,75,9.17,US,2020-06-23 20:08:25
151,Scottsbluff,41.87,-103.67,86.0,23,20,6.93,US,2020-06-23 20:08:25
152,Tessalit,20.2,1.01,95.29,8,0,8.55,ML,2020-06-23 20:08:25
153,Farmington,36.73,-108.22,91.99,9,1,10.29,US,2020-06-23 20:05:15
154,Ovalle,-30.6,-71.2,57.96,79,100,2.93,CL,2020-06-23 20:08:25
155,Pingzhuang,42.04,119.29,63.36,84,81,2.13,CN,2020-06-23 20:08:25
156,Kavieng,-2.57,150.8,83.14,76,46,9.24,PG,2020-06-23 20:08:25
157,Avarua,-21.21,-159.78,78.8,69,12,9.17,CK,2020-06-23 20:08:25
158,High Level,58.52,-117.14,68.0,42,75,9.17,CA,2020-06-23 20:08:08
159,Hithadhoo,-0.6,73.08,83.86,76,100,11.14,MV,2020-06-23 20:08:25
160,Waterfoot,53.69,-2.25,73.0,65,1,7.4,GB,2020-06-23 20:08:26
161,Qaanaaq,77.48,-69.36,38.73,78,0,1.74,GL,2020-06-23 20:08:26
162,Lalmohan,22.34,90.74,83.52,85,89,10.38,BD,2020-06-23 20:08:26
163,Akcakoca,41.09,31.12,68.31,81,96,5.08,TR,2020-06-23 20:08:26
164,Lata,40.16,-8.33,64.99,95,0,1.01,PT,2020-06-23 20:08:26
165,Benguela,-12.58,13.41,70.18,80,15,2.57,AO,2020-06-23 20:08:26
166,Hollins,37.34,-79.94,84.2,62,75,14.99,US,2020-06-23 20:08:26
167,Shingu,33.73,135.98,66.49,93,87,4.65,JP,2020-06-23 20:08:26
168,Meadow Lake,34.8,-106.54,90.0,23,1,5.82,US,2020-06-23 20:08:26
169,Turukhansk,65.82,87.98,53.33,75,97,5.32,RU,2020-06-23 20:08:26
170,Armeria,18.93,-103.97,91.4,55,75,8.19,MX,2020-06-23 20:08:26
171,Vao,-22.67,167.48,72.18,77,0,9.15,NC,2020-06-23 20:06:05
172,Katherine,-14.47,132.27,60.8,63,0,4.7,AU,2020-06-23 20:08:27
173,Maceio,-9.67,-35.74,80.6,74,40,12.75,BR,2020-06-23 20:06:59
174,Halifax,44.65,-63.57,73.99,100,90,12.75,CA,2020-06-23 20:06:34
175,San Rafael,-34.62,-68.33,46.76,72,95,3.18,AR,2020-06-23 20:06:01
176,Adrar,20.5,-10.07,104.54,8,23,4.9,MR,2020-06-23 20:08:27
177,Bilibino,68.05,166.44,49.05,50,99,4.09,RU,2020-06-23 20:08:27
178,Severnoye,56.35,78.36,53.73,94,95,9.13,RU,2020-06-23 20:08:27
179,Songea,-10.68,35.65,62.6,88,40,4.7,TZ,2020-06-23 20:06:15
180,Filingue,14.35,3.32,100.87,17,39,6.82,NE,2020-06-23 20:08:27
181,Estelle,29.85,-90.11,91.0,70,75,13.87,US,2020-06-23 20:08:27
182,Mae Ramat,16.98,98.52,75.7,93,100,0.76,TH,2020-06-23 20:08:27
