City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
379,harper,LR,76.24,4.38,-7.72,Cape View Guest House
381,teya,RU,82.65,60.38,92.63, 
382,warri,NG,74.95,5.52,5.75,BON Hotel Delta
383,tarancon,ES,78.8,40.01,-3.01,hotel castilla
384,marienburg,PL,60.01,54.04,19.03,Hotel Centrum Malbork
385,lulea,SE,62.6,65.58,22.15,Comfort Hotel Arctic
386,emporia,US,71.6,38.4,-96.18,Super 8 by Wyndham Emporia
387,chemal,RU,74.62,51.41,86.0,Guesthouse V Sosnovom Boru
388,manoel urbano,BR,73.92,-8.84,-69.26,Baixada Beira Rio
389,sawakin,SD,85.96,19.11,37.33,فندق الدويم
390,nanlong,CN,82.89,31.35,106.06,Demei Hotel
392,sidi ali,DZ,73.2,36.1,0.42, 
394,touros,BR,75.2,-5.2,-35.46,INN NEW HORIZON
395,la palma,US,71.6,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
396,atambua,ID,81.27,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
398,soderhamn,SE,66.0,61.3,17.06,Best Western Hotell SöderH
402,tateyama,JP,75.99,34.98,139.87,Tateyama Seaside Hotel
403,campagna,IT,71.01,40.67,15.11,Hotel Capital
406,fukue,JP,80.6,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
407,primo tapia,MX,66.0,32.22,-116.92,Puerto Nuevo Baja Hotel y Villas
408,altoona,US,70.0,40.52,-78.39,Cedar Grove Motel
409,fort walton beach,US,82.4,30.41,-86.62,Best Western Ft. Walton Beachfront
413,dhidhdhoo,MV,83.73,6.88,73.1,Dhidhoo beach
414,maceio,BR,73.4,-9.67,-35.74,Mercure Maceio Pajucara Hotel
415,bela,IN,90.82,25.93,81.98,Siddharth Hotel
417,bereda,ES,62.01,43.27,-7.54,Pazo de Verdes
418,jalu,LY,68.88,29.03,21.55,Jalu Hotel
420,logrono,ES,73.4,42.47,-2.45,Hotel Gran Vía Logroño
422,bara,NG,74.97,10.37,10.73, 
424,the valley,AI,82.99,18.22,-63.06,CeBlue Villas & Beach Resort
425,awjilah,LY,68.49,29.11,21.29, 
426,hurricane,US,99.0,37.18,-113.29,Super 8 by Wyndham Hurricane Zion National Park
427,normandin,CA,68.0,48.83,-72.53,Chambres MB Normandin (Lac St -Jean)
428,kenner,US,78.01,29.99,-90.24,La Quinta Inn & Suites by Wyndham New Orleans Airport
429,boca do acre,BR,74.5,-8.75,-67.4,Hotel Linhares
430,katsuura,JP,75.0,35.13,140.3,Katsuura Hilltop Hotel & Residence
431,cabra,ES,73.0,37.47,-4.44,MS Fuente Las Piedras
433,kapit,MY,88.48,2.02,112.93,Hotel Meligai Kapit
434,izazi,TZ,62.6,-7.2,35.73, 
435,bolobo,CD,72.09,-2.17,16.23, 
436,anloga,GH,78.8,5.79,0.9,Dey Lodge
437,tripoli,LY,69.64,32.88,13.19,Al Waddan Hotel
440,dakoro,NE,87.69,14.51,6.76,boukha ag ghamran
441,venice,US,86.0,27.1,-82.45,A Beach Retreat
442,ambovombe,MG,63.99,-25.17,46.08,MONJA Talilisoa
443,shimoda,JP,75.2,34.67,138.95,Shimoda Tokyu Hotel
448,shieli,KZ,74.61,44.17,66.75,Gostinitsa Aybek Shieli
450,pisco,PE,62.6,-13.7,-76.22,Hostal San Isidro Oficial
452,foz,ES,62.01,43.57,-7.25,Hotel Balcón de San Bartolo
453,north platte,US,73.4,41.12,-100.77,Holiday Inn Express & Suites North Platte
454,saint-georges,GD,82.4,12.06,-61.75,Radisson Grenada Beach Resort
460,alofi,NU,80.6,-19.06,-169.92,Taloa Heights
462,sur,OM,82.72,22.57,59.53,Sur Plaza Hotel
464,vila,PT,61.0,42.03,-8.16,Hotel Castrum Villae
465,timra,SE,61.0,62.49,17.33,Wifstavarfs Herrgård
467,otradnoye,RU,64.4,59.78,30.82,Baza otdikha Petrushinsky Khutor
468,west plains,US,73.4,36.73,-91.85,West Plains Motel
470,bahir dar,ET,61.21,11.59,37.39,"Delano Hotel, Bahir Dar"
472,sakakah,SA,77.0,29.97,40.21,Fakhamat Al Orjoana Apartment
475,waingapu,ID,82.67,-9.66,120.26,Pondok Wisata Elim
477,galveston,US,80.6,29.37,-94.97,Comfort Inn & Suites Texas City
479,tiarei,PF,80.6,-17.53,-149.33,Le Rocher de Tahiti
481,bairiki,KI,86.0,1.33,172.98,Tarawa Boutique Hotel
482,macomer,IT,69.01,40.26,8.77,B&B La Casa Antica
483,salmas,IR,62.6,38.2,44.77,Ata Hotel
484,jibuti,DJ,89.6,11.5,42.5,Orchid Main Camp Goubet
485,carberry,CA,71.6,49.87,-99.36,Carberry Motor Inn
486,eydhafushi,MV,83.34,5.1,73.07,Soneva Fushi
487,stonewall,CA,66.2,50.13,-97.33,Rockwood Motor Inn & Motel
488,portel,BR,76.33,-1.94,-50.82,Pousada Avenida
489,adre,TD,74.7,13.47,22.2, 
490,san quintin,MX,64.54,30.48,-115.95,Old Mill Hotel
491,acapulco,MX,80.6,16.86,-99.89,HS Hotsson Smart Acapulco
492,banda aceh,ID,85.46,5.56,95.32,OYO 884 Rumoh PMI Hotel
493,lahaina,US,87.8,20.88,-156.68,Lahaina Shores Beach Resort
494,kieta,PG,86.16,-6.22,155.63, 
495,kupang,ID,87.8,-10.17,123.58,Sylvia Hotel Premier Kupang
497,gyongyostarjan,HU,64.4,47.81,19.87,Turmalin Ház
498,pringsewu,ID,85.48,-5.36,104.97,Urban Style by Front One
501,levelland,US,78.8,33.59,-102.38,Holiday Inn Express & Suites Levelland
502,tuburan,PH,84.2,6.64,122.27,Bohe Puno
503,nakhon phanom,TH,87.8,17.41,104.78,The River Hotel Nakhonphanom
504,praia,CV,77.0,14.92,-23.51,LT Aparthotel
507,umm kaddadah,SD,87.71,13.6,26.69, 
508,moussoro,TD,87.53,13.64,16.49,Pharmacie alnadja Moussoro
509,sirjan,IR,82.06,29.45,55.68,هتل عطرسیب سیرجان
510,kant,IN,92.55,27.8,79.8,Haseeb Khan shatreng
511,jiaonan,CN,75.2,35.88,119.98,Vienna Hotel Qingdao Huangdao
512,tulum,MX,82.99,20.22,-87.47,Kin Ha
513,ahvaz,IR,84.2,31.32,48.67,tashrifat tourism travel agency
515,stavern,NO,60.8,59.0,10.03,Hotel Wassilioff
517,niigata,JP,80.6,37.9,139.02,Toyoko Inn Niigata Ekimae
518,san cristobal,VE,65.66,7.77,-72.22,Pirineos
519,sibolga,ID,85.5,1.74,98.78,Hotel Syariah CN Darussalam
520,baturaja,ID,84.52,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
523,funtua,NG,72.32,11.52,7.31,Elbintu Restaurant And Motel
525,faya,SA,68.0,18.39,42.45,مقبرة ال مجمل
527,gazanjyk,TM,87.87,39.24,55.52,Railway motel
528,yeppoon,AU,69.8,-23.13,150.73,Villa Mar Colina
529,ubauro,PK,100.83,28.17,69.73,Siraj Ahmed Solangi house benazir colony ubauro
532,los llanos de aridane,ES,73.4,28.66,-17.92,Valle Aridane
533,inongo,CD,69.62,-1.95,18.27,Hotel Du Lac
534,floro,NO,62.6,61.6,5.03,Kinn Hotell Florø
535,aracoiaba,BR,74.59,-4.37,-38.81,Coqueiros Lounge
538,palmer,US,73.4,42.16,-72.33,Wedgewood Motel
539,amazar,RU,72.5,53.86,120.88,Гостевой дом - Guest house
540,lleida,ES,66.0,41.62,0.62,Hotel Ramon Berenguer IV
541,meulaboh,ID,81.18,4.14,96.13,Kost Pria
542,aki,JP,78.8,33.5,133.9,Seigetsu Ryokan
544,baherden,TM,89.08,38.44,57.43, 
547,smithers,CA,66.2,54.78,-127.17,Prestige Hudson Bay Lodge
548,saint anthony,US,63.0,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
549,ixhuatan,MX,80.58,16.36,-94.48,Esq. De Los Inocentes
550,lodja,CD,67.42,-3.48,23.43, 
552,baykit,RU,81.66,61.67,96.37,Gostinitsa
553,bendigo,AU,63.0,-36.77,144.28,The Hotel Shamrock
556,two rivers,US,61.0,44.15,-87.57,Lighthouse Inn On Lake Michigan
558,abrau-dyurso,RU,71.6,44.69,37.59,Avgustin Inn
560,edd,ER,88.32,13.93,41.69, 
561,progreso,MX,84.0,21.28,-89.67,Playa Linda Hotel
562,horta,PT,60.55,38.53,-28.63,Hotel do Canal | Horta - Faial
564,xuddur,SO,73.72,4.12,43.89,Banjanay Hotel
565,weihai,CN,70.59,37.5,122.11,Beihai Travel Resort
567,miandrivazo,MG,70.95,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
568,nieuwpoort,BE,63.0,51.12,2.77,Hotel Gemeente Huis
570,estelle,US,77.0,29.85,-90.11,Comfort Inn Marrero - New Orleans West
572,batagay-alyta,RU,83.61,67.8,130.41, 
