City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,Lumberton,34.62,-79.01,86.0,62,40,9.17,US,2020-06-23 23:15:03
232,Minsk,53.9,27.57,62.6,82,75,4.47,BY,2020-06-23 23:16:05
233,Lumphat,13.49,106.98,76.05,94,100,0.4,KH,2020-06-23 23:19:21
234,Alta Floresta,-9.88,-56.09,73.33,63,68,4.29,BR,2020-06-23 23:19:21
235,Chokurdakh,70.63,147.92,73.06,26,48,8.08,RU,2020-06-23 23:19:21
236,Porto De Moz,-1.75,-52.24,79.14,69,50,1.72,BR,2020-06-23 23:19:21
237,Abu Dhabi,24.47,54.37,87.01,79,0,3.36,AE,2020-06-23 23:17:01
238,Svetlaya,46.54,138.33,51.35,94,100,4.65,RU,2020-06-23 23:19:21
239,Ginir,7.13,40.7,57.97,92,9,5.73,ET,2020-06-23 23:19:21
240,Drexel Heights,32.14,-111.03,105.01,5,1,9.17,US,2020-06-23 23:19:22
241,Rawson,-43.3,-65.1,47.41,53,3,10.8,AR,2020-06-23 23:19:22
242,Kargopol,61.51,38.95,41.38,76,5,5.37,RU,2020-06-23 23:19:22
243,Salinopolis,-0.61,-47.36,79.09,83,95,10.31,BR,2020-06-23 23:19:22
244,Airai,-8.93,125.41,58.55,100,49,3.69,TL,2020-06-23 23:19:22
245,Nuuk,64.18,-51.72,46.4,49,44,5.82,GL,2020-06-23 23:19:22
246,Tazovskiy,67.47,78.7,46.42,84,91,10.04,RU,2020-06-23 23:19:22
247,Quievrain,50.41,3.68,66.0,72,39,3.36,BE,2020-06-23 23:19:22
248,Port Hardy,50.7,-127.42,59.0,100,90,3.36,CA,2020-06-23 23:16:06
249,Raikot,30.65,75.6,90.07,50,0,5.32,IN,2020-06-23 23:19:23
250,Garden City,42.33,-83.33,72.0,56,75,17.22,US,2020-06-23 23:19:23
251,Kaffrine,14.11,-15.55,86.0,70,99,11.36,SN,2020-06-23 23:19:23
252,Pitimbu,-7.47,-34.81,75.2,94,40,4.7,BR,2020-06-23 23:19:23
253,Ilulissat,69.22,-51.1,39.2,86,82,4.7,GL,2020-06-23 23:19:23
254,Nayoro,44.35,142.46,64.09,74,100,2.57,JP,2020-06-23 23:19:23
255,Cabra,37.47,-4.44,79.0,40,12,1.48,ES,2020-06-23 23:19:23
256,Trincomalee,8.57,81.23,81.39,77,100,13.65,LK,2020-06-23 23:19:23
257,Anadyr,64.75,177.48,53.6,76,75,6.71,RU,2020-06-23 23:19:23
258,Busayra,30.74,35.61,61.59,51,0,5.5,JO,2020-06-23 23:19:24
259,At-Bashi,41.17,75.81,50.58,71,100,2.46,KG,2020-06-23 23:19:24
260,Maine-Soroa,13.21,12.02,88.77,24,0,5.75,NE,2020-06-23 23:19:24
261,Yuncheng,35.02,110.99,74.52,71,0,3.51,CN,2020-06-23 23:19:24
262,Carndonagh,55.25,-7.27,55.96,94,100,8.57,IE,2020-06-23 23:19:24
263,Kudahuvadhoo,2.67,72.89,83.66,78,92,14.03,MV,2020-06-23 23:19:24
264,Roald,62.58,6.13,57.99,93,89,8.05,NO,2020-06-23 23:19:24
265,Pacific Grove,36.62,-121.92,75.0,56,1,16.11,US,2020-06-23 23:19:24
266,Flinders,-34.58,150.86,57.99,68,49,8.01,AU,2020-06-23 23:19:25
267,Cookeville,36.16,-85.5,80.6,54,1,5.82,US,2020-06-23 23:18:51
268,Salinas,36.68,-121.66,75.0,60,1,18.34,US,2020-06-23 23:19:25
269,Zaragoza,41.66,-0.88,80.01,54,20,9.17,ES,2020-06-23 23:17:13
270,Floro,61.6,5.03,60.8,87,78,5.82,NO,2020-06-23 23:19:25
271,Nelidovo,56.22,32.78,54.68,78,0,3.91,RU,2020-06-23 23:19:25
272,Roma,43.21,-75.46,86.0,45,40,9.17,US,2020-06-23 23:19:25
273,Ahuimanu,21.44,-157.84,84.2,69,40,9.17,US,2020-06-23 23:19:26
274,Clyde River,70.47,-68.59,42.8,81,90,10.29,CA,2020-06-23 23:19:26
275,Isangel,-19.55,169.27,78.3,76,90,7.07,VU,2020-06-23 23:19:26
276,Karratha,-20.74,116.85,66.94,44,0,6.51,AU,2020-06-23 23:15:11
277,Kaka,37.35,59.61,84.47,15,0,11.16,TM,2020-06-23 23:19:26
278,Aransas Pass,27.91,-97.15,86.0,79,40,6.93,US,2020-06-23 23:19:26
279,Bathsheba,13.22,-59.52,82.4,78,20,17.22,BB,2020-06-23 23:19:26
280,Bandarbeyla,9.49,50.81,80.13,75,25,23.2,SO,2020-06-23 23:19:26
281,Berbera,10.44,45.01,89.29,50,0,5.12,SO,2020-06-23 23:19:26
282,Ribeira Grande,38.52,-28.7,61.27,70,9,18.41,PT,2020-06-23 23:19:26
283,Talnakh,69.49,88.4,55.4,71,0,6.71,RU,2020-06-23 23:19:27
284,Rorvik,64.86,11.24,56.7,92,84,6.51,NO,2020-06-23 23:19:27
285,Marawi,8.0,124.29,77.0,86,49,4.0,PH,2020-06-23 23:19:27
286,Dunnville,42.9,-79.62,75.99,75,95,1.99,CA,2020-06-23 23:19:28
287,Saint-Denis,48.92,2.33,73.4,56,95,8.05,FR,2020-06-23 23:19:28
288,Khasan,42.43,130.64,59.67,95,100,7.58,RU,2020-06-23 23:19:28
289,Barra,-11.09,-43.14,78.03,56,37,13.11,BR,2020-06-23 23:19:28
290,Norrkoping,58.59,16.18,60.8,93,0,2.24,SE,2020-06-23 23:18:41
291,Slonim,53.09,25.32,61.86,94,99,8.63,BY,2020-06-23 23:19:28
292,Coracora,-15.03,-73.78,49.3,49,2,2.19,PE,2020-06-23 23:19:28
293,Boyolangu,-8.12,111.89,73.8,87,60,5.12,ID,2020-06-23 23:19:29
294,Turukhansk,65.82,87.98,57.33,67,99,7.36,RU,2020-06-23 23:19:30
295,Accra,5.56,-0.2,78.8,94,40,8.05,GH,2020-06-23 23:19:30
296,San Carlos De Bariloche,-41.15,-71.31,35.6,74,40,13.87,AR,2020-06-23 23:17:53
297,Zhezkazgan,47.8,67.71,57.2,58,0,11.9,KZ,2020-06-23 23:19:30
298,San Quintin,30.48,-115.95,70.11,70,15,14.32,MX,2020-06-23 23:19:30
299,Shubarkuduk,49.14,56.49,65.82,31,35,11.32,KZ,2020-06-23 23:19:30
300,Mairana,-18.12,-63.93,57.94,100,29,5.23,BO,2020-06-23 23:19:30
301,Katobu,-4.94,122.53,73.67,84,56,2.91,ID,2020-06-23 23:19:30
302,Le Moule,16.33,-61.35,84.2,70,75,9.17,GP,2020-06-23 23:19:31
303,Sechura,-5.56,-80.82,69.21,72,7,18.32,PE,2020-06-23 23:19:31
304,Oussouye,12.48,-16.55,82.4,83,20,4.7,SN,2020-06-23 23:19:31
